Athlete	CountryCode	Medals
darcy hadfield	NZL	1
dario dentale, luca agamennoni, lorenzo porzio, raffaello leonardo	ITA	1
darren campbell	GBR	1
dave hall	USA	1
dave wottle	USA	1
davian clarke, greg haughton, michael mcdonald, roxbert martin	JAM	1
david berkoff	USA	2
david cal	ESP	5
david collins, william carlucci, jeff pfaendtner, marc schneider	USA	1
david crawshay, scott brennan	AUS	1
david davies	GBR	1
davide rummolo	ITA	1
david fox, scott tucker, jon olsen, brad schumacher, josh davis, gary hall jr.	USA	1
david gillanders	USA	1
david grindley, kriss akabusi, roger black, john regis	GBR	1
david hemery	GBR	2
david jacobs, henry macintosh, vic d'arcy, willie applegarth	GBR	1
david kopriva, jakub hanak, david jirka, tomas karas	CZR	1
david larsen, bruce hayes, mike heath, jeffrey float, geoffrey gaberino	USA	1
david lekuta rudisha	KEN	1
david lowe, duncan goodhew, gary abraham, trevor smith	GBR	1
david l?pez-zubero	ESP	1
david neville	USA	1
david oliver	USA	1
david payne	USA	1
david power	AUS	1
david segal, peter radford, neville whitehead, david jones	GBR	1
